EMPLOYEE_ID,HIRE_DATE
100,17-JUN-03
101,21-SEP-05
102,13-JAN-01
103,03-JAN-06
104,21-MAY-07
105,25-JUN-05
106,05-FEB-06
107,07-FEB-07
108,17-AUG-02
109,16-AUG-02
110,28-SEP-05
111,30-SEP-05
112,07-MAR-06
113,07-DEC-07
114,07-DEC-02
115,18-MAY-03
116,24-DEC-05
117,24-JUL-05
118,15-NOV-06
119,10-AUG-07
120,18-JUL-04
121,10-APR-05
122,01-MAY-03
123,10-OCT-05
124,16-NOV-07
125,16-JUL-05
126,28-SEP-06
127,14-JAN-07
128,08-MAR-08
129,20-AUG-05
130,30-OCT-05
131,16-FEB-05
132,10-APR-07
133,14-JUN-04
134,26-AUG-06
135,12-DEC-07
136,06-FEB-08
137,14-JUL-03
138,26-OCT-05
139,12-FEB-06
140,06-APR-06
141,17-OCT-03
142,29-JAN-05
143,15-MAR-06
144,09-JUL-06
145,01-OCT-04
146,05-JAN-05
147,10-MAR-05
148,15-OCT-07
149,29-JAN-08
150,30-JAN-05
151,24-MAR-05
152,20-AUG-05
153,30-MAR-06
154,09-DEC-06
155,23-NOV-07
156,30-JAN-04
157,04-MAR-04
158,01-AUG-04
159,10-MAR-05
160,15-DEC-05
161,03-NOV-06
162,11-NOV-05
163,19-MAR-07
164,24-JAN-08
165,23-FEB-08
166,24-MAR-08
167,21-APR-08
168,11-MAR-05
169,23-MAR-06
170,24-JAN-06
171,23-FEB-07
172,24-MAR-07
173,21-APR-08
174,11-MAY-04
175,19-MAR-05
176,24-MAR-06
177,23-APR-06
178,24-MAY-07
179,04-JAN-08
180,24-JAN-06
181,23-FEB-06
182,21-JUN-07
183,03-FEB-08
184,27-JAN-04
185,20-FEB-05
186,24-JUN-06
187,07-FEB-07
188,14-JUN-05
189,13-AUG-05
190,11-JUL-06
191,19-DEC-07
192,04-FEB-04
193,03-MAR-05
194,01-JUL-06
195,17-MAR-07
196,24-APR-06
197,23-MAY-06
198,21-JUN-07
199,13-JAN-08
200,17-SEP-03
201,17-FEB-04
202,17-AUG-05
203,07-JUN-02
204,07-JUN-02
205,07-JUN-02
206,07-JUN-02
